,REPORT,CATEGORY
0,"Be careful guys, this place is creepy",1
1,Saw a strange man creeping around everyday at this bus station #becareful,1
2,"I feel safe here, police are patrolling everyday near Aamil Wholesale! #yes",1
3,Now I know why Detroit is the most dangerous city in the world,1
4,"At night this area can get creepy, no one is usually around, avoid this bus station!",1
5,Creepiness of this area is so high,1
6,"First time ever seeing a guy threatened by a hand gun, never come here again",1
7,Last night I saw a burglary around this area. Detroit police please address this issue!,1
8,"Some group of ganksters are staring at me, please help!",1
9,Waiting for a bus with some friends!,1
10,Some crazy guys are screaming at me ?!!! Had to run!,1
11,The security seriously has to be improved!,1
12,Got pointed by a gun last night! Had to surrender all my money!,1
13,"BP is nearby, you can buy some food before waiting for a bus!",1
14,The situation in this station was pretty chaotic!!!,1
15,"Surroundings around here are pretty suspicious, be sure to activate watch me!!",1
16,"This place is dark and creepy at night, be careful guys!",1
17,Some suspicious looking men are strolling around the area,1
18,Hey the strangers are pretty friendly here!,1
19,"The street was pretty slippery, so be careful!",1
20,"Be sure to activate watch me, it is very useful!!!",1
21,"2 gangsters with guns were fighting each other last night, pretty scary!",1
22,"This place is so creepy at night, beware!",1
23,"Waited 20 minutes just for the bus at night, becareful!",1
24,Got really pissed by some random guys yelling at me for no reason :(,1
25,"Saw two guys carrying a hand-gun, keep vigilante guys!",1
26,"I am amazed by the fact that some police patrol this site at night, feels safe!",1
27,"Saw an unattended bag under a seat, be careful!",1
28,Keep your safety guys!,1
29,"Some police vehicles are outside, something must have happened",1
30,"Two black men were fist-fighting, super annoying!!!",1
31,"At night there is no one here, keep a company with you just to be safe",1
32,Unusual number of passengers today! Feels very safe!,1
33,"Police are now guarding everyday, I feel safe!",1
34,"Found some unattended guns placed under a chair, pretty creepy to be honest!",1
35,I think the way it is right now is that more crime has happened,1
36,"Crime rate is high nowadays, keep yourself safe!",1
37,"I recommend getting some companion while waiting here, it is safer!",1
38,You may even bring your gun just in case,1
39,This place is so scary at night! Be careful!,1
40,Even at daytime I do not feel safe going here!,1
41,I was being harassed by a black guy #holyshit,1
42,"Got a companion to get home, feels so safe!",1
43,Come home safe and sound! Everybody is waiting for you,1
44,"Just got robbed yesterday, please avoid this area at all cost",1
45,"I don't like my surroundings, feels unsafe #jesus",1
46,I left my wallet on a rubish bin #ohno,1
47,Got threatened and harassed yesterday by a guy,1
48,"There is no police whatsoever here, be proactive and keep vigillante!",1
49,I really think that the security of this place needs more improvement,1
50,This app is so useful to report your safety in the city of Detroit,1
51,"A walk in the park, I saw a woman got robbed by two men",1
52,Saw someone getting fined by the cops because of overspeeding,1
53,"A snitch stole my wallet while I was walking, be safe guys!",1
54,"Some black kids were following me during my night walk, very scary!! I just ignored them",1
55,"Saw an unattended parcel near a park, I immediately ran away!",1
56,"Police have increased patrol in this neighborhood, something must have happened!",1
57,"Saw some groups of people creeping around this area everyday, don't know what they are up to though!",1
58,Keep vigillante guys!,1
59,"Was walking while watching Netflix, pretty safe I suppose!",1
60,Was eating my burger when a beggar bugged me! So annoying!,1
61,I was threatened by a gun! Detroit police please handle this issue!,1
62,Robbery is still common in this area,1
63,Safest neighborhood in town!!,1
64,"I don't think I will go back to this area again :(, made me so scared",1
65,"I always see some ganksters gathering around this area at night, be safe people!",1
66,"Don't really like this place, although nothing has ever happened",1
67,Security is your utmost priority now,1
68,"So many pedestrians here even at night, I guess it has just got less scary",1
69,more security is need in this area,1
70,I hate to say this but the government of the city of Detroit has to improve the security of this area!!!,1
71,"It's pretty cold here during night, grab some extra clothing guys!",1
72,this area is still less secured,1
73,Safetiness is a major issue in this area!,1
74,lol now I know why Detroit is the most dangerous city in the US!,1
75,I will never ever walk this area or neighborhood again!!,1
76,Was pretty disgusted by this ghetto area,1
77,Security is a major concern here,1
78,I don't know why security has not improved here ever since,1
79,The safetiness of this area can still be improved,1
80,Beware of the factory workers around this area,1
81,"This area is look very grim, be careful guys",1
82,The security of this area can be improved more,1
83,"Just chilling here with my friends, nothing special is happening",1
84,"So many shady looking people here in this poor area, keep yourself vigillant",1
85,"My friend robbed in this particular area few days ago, be careful",1
86,"Homicide is very common here, take precautions!",1
87,"One of the safest area in the city! But still, stay vigilante",1
88,"Trust me, stay away from this area",1
89,I think I will keep myself away from this place,1
90,"Knowing this place is not safe, I will not go here anymore",1
91,I am so scared I wanna go home!,1
92,Report and keep your loved ones safe!,1
93,Walking around here is a mistakeÃÂ,1
94,I ran away from someone creeping me for 10 minutes #whatthehell,1
95,I word for this neighborhood: frightening,1
96,"Just got threatened by a robber, gave him all my money, shit just got real",1
97,Security and safety in this area is compromised!,1
98,"Saw some men carrying hand guns, pretty frighteting if you ask me",1
99,Everybody needs to think that safety is their number one priority,1
100,"Saw someone bringing a gun, I immediately ran away",1
0,"simplistic , silly and tedious . ",0
1,"it's so laddish and juvenile , only teenage boys could possibly find it funny . ",0
2,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . ,0
3,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation . ",0
4,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . ,0
5,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count . ",0
6,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . ,0
7,not so much farcical as sour . ,0
8,unfortunately the story and the actors are served with a hack script . ,0
9,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject . ",0
10,a sentimental mess that never rings true . ,0
11,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ",0
12,"interesting , but not compelling . ",0
13,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire . ",0
14,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle . ",0
15,there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,0
16,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah . ",0
17,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard ! ",0
18,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . ",0
19,this 100-minute movie only has about 25 minutes of decent material . ,0
20,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . ,0
21,"on its own , it's not very interesting . as a remake , it's a pale imitation . ",0
22,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . ,0
23,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films . ",0
24,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . ",0
25,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville . ,0
26,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . ',0
27,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . . ",0
28,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here . ",0
29,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep . ",0
30,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates . ",0
31,the action clichés just pile up . ,0
32,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast . ",0
33,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . ,0
34,another useless recycling of a brutal mid-'70s american sports movie . ,0
35,i didn't laugh . i didn't smile . i survived . ,0
36,"please , someone , stop eric schaeffer before he makes another film . ",0
37,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",0
38," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee . ",0
39,curling may be a unique sport but men with brooms is distinctly ordinary . ,0
40,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set . ",0
41,there's no getting around the fact that this is revenge of the nerds revisited -- again . ,0
42,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable . ",0
43,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in . ",0
44,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins . ",0
45,"stinks from start to finish , like a wet burlap sack of gloom . ",0
46,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement . ",0
47,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . ,0
48,the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,0
49,everything is off . ,0
50,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",0
51,"an easy watch , except for the annoying demeanour of its lead character . ",0
52,"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes . ",0
53,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion . ",0
54,"forget the misleading title , what's with the unexplained baboon cameo ? ",0
55,"an odd , haphazard , and inconsequential romantic comedy . ",0
56,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere . ",0
57,"pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest . ",0
58,"a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes . ",0
59,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost . ",0
60, . . . a pretentious and ultimately empty examination of a sick and evil woman . ,0
61,"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either . ",0
62,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end . ",0
63,the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach . ,0
64,mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination . ,0
65,only in its final surprising shots does rabbit-proof fence find the authority it's looking for . ,0
66,"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it . ",0
67," . . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried . ",0
